# Constructed from biom file
#OTU ID	Sample001	Sample002	Sample003	Sample010	Sample011	Sample012	Sample025	Sample026	Sample031	Sample032	Sample044	Sample045	Sample046	Sample047	Sample048	Sample049	Sample056	Sample057	Sample058	Sample065	Sample066	Sample067	Sample089	Sample090	Sample091	Sample095	Sample096	Sample097	Sample098	Sample099	Sample100	Sample101	Sample102	Sample103
Lactococcus	568	577	653	7079	6915	6394	44	1081	0	13	1	0	0	0	0	1	3178	2124	3879	3256	4624	6055	2072	1799	1400	1501	713	158	5383	2508	3026	490	722	1071
Tetragenococcus	1	1	2	0	0	0	18	38	0	0	515	73	338	4	1	1	0	0	0	0	0	0	408	283	501	399	90	40	1021	402	418	2961	552	1119
Pseudomonas	3648	3565	3828	0	416	703	352	456	191	28	27	26	34	105	117	91	0	7	5	1	1	0	5	4	3	31	44	85	1	0	5	6	0	6
Brevibacterium	0	2	0	0	0	0	3779	2995	0	1885	2677	3721	2877	27	23	67	0	0	0	1	1	0	56	14	81	422	1171	2307	33	0	254	360	3052	2542
Corynebacterium	42	38	41	0	2	3	697	352	0	23	1205	1009	690	42	21	29	0	0	0	0	0	0	87	27	148	455	1193	621	323	0	1772	3351	1066	1210
Acinetobacter	659	714	780	0	729	979	22	184	633	22	5	3	3	3	4	3	0	4	4	1	2	0	2	2	1	5	6	4	1	0	1	1	0	1
Lactobacillus	24	21	22	85	53	51	2	13	0	2	5	6	5	3	3	2	293	496	888	35	58	64	61	44	255	29	21	4	455	330	578	21	23	34
Staphylococcus	668	517	390	29	13	23	463	460	0	1275	210	41	1118	3	2	4	5	5	3	4	27	3	12	9	11	56	100	28	8	12	10	33	56	21
Enterococcus	32	26	25	91	67	67	2	23	0	2	4	2	3	1	1	1	60	47	73	51	73	88	36	30	22	39	22	5	91	43	60	31	24	28
Psychrobacter	7	8	4	0	0	1	46	7	2580	2	287	108	5	2	3	2	0	0	0	0	0	0	12	1	5	116	139	37	0	0	1	2	0	0
Hafnia	6	4	2	0	4	5	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brachybacterium	2	1	1	0	0	0	592	511	0	971	340	714	255	8	7	8	0	0	0	0	0	0	6	5	11	43	138	549	6	0	79	77	251	688
Bifidobacterium	4	5	6	0	0	0	3	2	0	1	3	4	4	4	4	3	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	2	1
Halomonas	1	0	1	0	0	0	2	1	0	1	67	105	37	20	45	32	0	0	0	0	0	0	52	3	4	454	561	1361	2	0	6	22	0	8
Acidipropionibacterium	0	0	0	0	0	0	1	1	0	1	1	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1
Shewanella	0	1	0	0	0	1	2	30	0	1	1	1	1	2	2	3	0	0	0	0	0	0	0	0	0	1	2	3	0	0	0	0	0	0
Enterobacter	38	34	32	0	108	92	1	14	10	0	1	1	1	2	3	2	0	6	3	5	6	0	2	3	1	1	2	2	1	0	1	0	0	1
Streptomyces	9	10	10	0	0	1	84	47	0	34	49	63	75	208	172	143	0	3	3	0	0	0	6	3	4	15	40	34	4	0	25	24	50	28
Leuconostoc	21	17	16	33	27	28	1	20	0	3	0	0	2	0	0	0	49	26	46	14	23	29	13	13	9	6	3	1	22	13	19	2	3	4
Chryseobacterium	19	22	27	0	32	37	13	11	0	3	4	1	2	5	6	3	0	1	1	0	0	0	1	1	1	3	6	4	1	0	1	1	0	1
Obesumbacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alkalibacterium	1	0	0	0	0	0	1	1	0	0	6	7	6	0	0	0	0	0	0	0	0	0	9	5	6	820	811	125	15	37	22	117	332	175
Kocuria	16	10	8	0	1	1	64	149	0	98	12	17	11	4	5	3	0	0	0	0	0	0	1	0	0	2	8	8	1	0	4	4	8	7
Microbacterium	10	8	8	0	0	1	122	17	0	14	46	59	48	65	70	27	0	0	0	0	0	0	2	0	1	4	13	14	1	0	8	7	21	12
Janibacter	0	0	0	0	0	0	11	14	0	8	19	11	24	5	25	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	2	1
Humibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arthrobacter	1	4	6	0	0	0	18	10	0	8	86	86	48	17	35	13	0	2	2	0	0	0	1	1	2	9	42	35	1	0	9	5	19	11
Rhodococcus	2	4	6	0	0	1	291	10	0	6	13	19	45	30	31	24	0	0	0	0	0	0	1	0	0	3	10	6	1	0	7	6	13	7
Marinobacter	0	0	0	0	0	0	0	0	0	0	72	16	38	9	39	14	0	0	0	0	0	0	7	1	1	234	361	708	1	0	1	13	0	3
Yaniella	0	0	0	0	0	0	1	0	0	0	60	105	104	14	1	2	0	0	0	0	0	0	0	1	2	2	13	12	7	0	66	5	26	43
Pseudonocardia	0	1	0	0	0	0	6	3	0	2	12	7	73	251	113	313	0	0	0	0	0	0	0	0	0	1	3	2	0	0	2	2	3	2
Citrobacter	14	13	17	0	96	70	0	10	19	0	0	0	0	1	1	1	0	16	10	9	14	0	2	3	1	3	1	1	1	0	1	0	0	0
Streptococcus	19	39	47	40	30	31	5	11	0	1	2	1	1	1	1	1	17	12	18	15	21	25	12	10	7	12	7	2	20	13	16	6	9	8
Nocardioides	1	1	1	0	0	0	10	6	0	4	15	11	11	40	39	21	0	0	0	0	0	0	1	0	0	2	5	4	0	0	3	3	6	3
Mycobacterium	15	12	11	0	0	0	20	10	0	5	19	22	36	72	63	51	0	1	1	0	0	0	2	1	1	4	11	8	1	0	8	7	14	8
Kluyvera	1	1	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Raoultella	12	9	13	0	47	43	0	15	56	0	0	0	0	0	0	0	0	8	5	3	4	0	2	4	1	1	0	0	0	0	0	0	0	0
Klebsiella	22	25	24	0	35	30	1	34	64	1	1	1	1	2	2	1	0	5	5	3	5	0	2	2	1	2	1	2	2	0	1	1	0	1
Lelliottia	21	18	15	0	13	13	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus	56	49	40	7	5	6	2	10	0	3	6	5	4	9	7	4	4	4	5	3	4	4	4	3	3	12	11	4	5	6	6	7	15	8
Propionibacterium	0	0	0	0	0	0	2	1	0	1	1	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1
Actinomyces	1	1	2	0	0	0	5	3	0	2	5	7	6	5	6	4	0	0	0	0	0	0	0	0	0	1	3	3	0	0	2	2	4	2
Pediococcus	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	2	1	1	0
