Sample ID	SourceSink	Env
Sample001	source	milktate
Sample002	source	milktate
Sample003	source	milktate
Sample010	source	curdtate
Sample011	source	curdtate
Sample012	source	curdtate
Sample025	source	FC_before_cave
Sample026	source	FC_before_cave
Sample031	source	NFC_before_cave
Sample032	source	NFC_before_cave
Sample044	source	FC_Cave2
Sample045	source	FC_Cave2
Sample046	source	FC_Cave2
Sample047	source	NFC_Cave2
Sample048	source	NFC_Cave2
Sample049	source	NFC_Cave2
Sample056	sink	core_Stage_1
Sample057	sink	core_Stage_1
Sample058	sink	core_Stage_1
Sample065	sink	rind_Stage_1
Sample066	sink	rind_Stage_1
Sample067	sink	rind_Stage_1
Sample089	sink	core_Stage_2
Sample090	sink	core_Stage_2
Sample091	sink	core_Stage_2
Sample095	sink	rind_Stage_2
Sample096	sink	rind_Stage_2
Sample097	sink	rind_Stage_2
Sample098	sink	core_Stage_3
Sample099	sink	core_Stage_3
Sample100	sink	core_Stage_3
Sample101	sink	rind_Stage_3
Sample102	sink	rind_Stage_3
Sample103	sink	rind_Stage_3
